Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/GjHWBSkVwJzBdYtgbIGZgLplcJUArcwQlWqWhhxdbnunClzVfqxBDHptNtBmANxu.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000006			102400			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/JXeTVxTgeEeyKjYhqFrfqYvsskUEhYdBfCLkBlOIJOXGpwGJPpqXBZbCUjCRCUiL.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000010			102400			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/QcNNaQBeGkJPzZlpwOwxQrSSMTGnhQAexktSUHdFtAkwRmHdahkjUbKRrHLPGRDD.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000012			102400			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/VZfvPFzMfIbvIXmPauBjhTFbwksIrjvNMrnVrBpbNSFYdlSUFUliaFVNpfWvvFLC.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000013			102400			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/VmuDmSLDNdStRgPePGkJtfDWtFLiDPnUdSpkZAvZfwaItPvpgyJDJMEmiMhgNPJO.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000009			113136			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/XiGqWYVadCmdovgNswsnOKtZftwXeiQONqzOWhzHgKYJkxWQAjeoUoGWFnBIXAjC.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000003			111712			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/hPUnmWeNTDUOauSQFSoHnOmbvPByxNVmFCzROPbvJAwdYpGxskdiaHtdpKmwNvhx.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000015			102400			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/lpgpVluWEKULlXysXlPiLfxhLYJNkpdtVgvRyFtKxPHWMVMpOeIXEEgAjBGUbisL.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000011			102400			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/uqWjkPXMwJmZwIpyEmWJGgJMrAaXAOtOtwLVoTuTDbdBIgQRVPTDTIZApEsuDQcw.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000005			111920			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/weadbLtpmjWrFdgxRSbxbaxcAhfwLNOaBdVjULHKKGsycGEXNWwQizJshdMQJvfU.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000004			102400			Aug 06, 2026
PCSB00346	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00346_00/PpdPPvzIvtPxktzwNVrKNFZPMeYuAkHgQNyyLOmAwFBEoWEavAyIblKaBMGtJtMB.pkg	MISSING	EP1063-PCSB00346_00-AVDANGANRO000004			125088			Aug 06, 2026
PCSB00226	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0747/PCSB00226_00/yzphQivAwvHyRPklgjqCTVVzcydTvdBDsGYWRELdhEgEvwKEUIEFQsBnVMoWHPUr.pkg	MISSING	EP0747-PCSB00226_00-AVRAGNAROK000002			102400			Aug 06, 2026
PCSB00346	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00346_00/TbpXIIDWnfxUcATxxysuFQksjzgGpTSEYNMdjvOAZZvIYykEBZfZsceWEwAhAvIs.pkg	MISSING	EP1063-PCSB00346_00-AVDANGANRO000014			102400			Aug 06, 2026
PCSB00205	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4034/PCSB00205_00/VQzTvAGMFShkKRxrAMsnRIPVGueREGAYymWUBFRhsOwULHgyMHDTavCSNtujWTxk.pkg	MISSING	EP4034-PCSB00205_00-AVVIRTUESL000008			134416			Aug 06, 2026
PCSB00514	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00514_00/uHqCOWcFihDUOsEwWBLudZATwbtChLUJgeyNDQTHnRDmQbOanfWqIcUltlthXvHG.pkg	MISSING	EP1063-PCSB00514_00-AVDANGANRO000015			125152			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/CTbzlkxDYAliGUkfjlaDlFIdBWXfKfHpJFqFwlElOpfEAkMNoUdIqNAsGgzCHJIf.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0044			134928			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/DWoTBZIzBzlCwlFoHuRaIOyLxUuaiSPywcqURlQfpBoCdyOvzwmPopQPEkxreFJg.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0041			145040			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/EYkVLsLZrMCdaqovfNFkqCBnkeHijcxgfyXeVUsBFggwaxJbZDmZNsMDvpJlJtIU.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0037			122000			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/GNtUHzosHEGNIbogWIbXUdRgrXZDHfUctmWSyFUHBQBsqbfCtvZPpFXKuzrcZmxB.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0042			109568			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/MKeAGtEUgYLRceyujcxsytUkpHFlrJIIWlxRsooqASaqVVAZHIzqulmleqZBgkFB.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0033			107888			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/MdKMZRyFTzfYbHdbwlQZUszKuLypXselDjjFqygwDBrYbluAdsWhGCTZDWZpIBKw.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0032			118320			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/bixpHXrzbTrFMbGsftPttGqLjDTKgZBjPwdBrHvmXheVExqfkUsdPxPTtqwdLSMS.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0030			102400			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/PBsrVvWkdvkDJIoeQMPZTUxBWuzHbmzifpgPHTlmpxOPoBwzBHReohWWZolkOnoE.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0043			125392			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/dIdJmVUFABcJwQTVeJdyTJIjQelZQNWPHITojahZRdmjgNNYYjMONRUbRYAZCmcV.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0029			102400			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/eZSFbCFkNZIeceTCfBQwynHVWSstfEURqUKktCYCLxNRHEcBHoLXZEMiXrdZaBoH.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0028			102400			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/kAeVSrGuCxtOmAxbDgpARZKLqVJqIgutNrvWAujrzHLwTmtECSEZIGuFPRnXGrXY.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0039			102400			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/knNxyAZRjNopeUyRHOFFKSvtMExpdRKMrzNXfYgwpiQAoNYrnwArdltmBnivJnNo.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0027			102400			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/nLtoroYNbluZpUlZTMatExxbZCwBFUiVWTThcyoUKQtNvarkRjFjadRvMGQKnsNR.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0034			113232			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/sWTcqxjdNLECzklgtfMZxGJdranOCxRSmCOeGqXJcswfOBPvlGkPPjzqWhlywcQJ.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0035			102400			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/sZwXehzHwYgnwhRqfHrnHdLONzaPnnBKGmKolLfcHRdlLKzzJrsPvFYCsErcfqnD.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0025			119040			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/ywfdrkgLwTqfQOoLqSHvYCTiCIgoOjHbmmrjtqWqETTcPdeCeDxWyaEhusfSdcVZ.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0031			104416			Aug 06, 2026
PCSG00182	JP	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00182_00/wxzVWhEiCBHRRaetrlvliGBFeTeckCJoBrrRfctothMuFsnLwtBhYdmykwIwtFIg.pkg	MISSING	JP0082-PCSG00182_00-AVATAR1401MA0026			102400			Aug 06, 2026
