Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
BLUS31011	US	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/UP0002/BLUS31011_00/WZpSbeLixilhfrVZqHmIDbfjrXUiyqYUuSSICvBWHdOLZnWWQQmPAMqPCVhKRnXf.pkg	MISSING	UP0002-BLUS31011_00-CODBO2ZOMBIE0000			8991088			Jul 23, 2026
BCAS20279	ASIA	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/HP0082/BCAS20279_00/HtlUGUImNLTEPEeBkOXTrIEQcClgpWDbatrxZyTtDhQSxgLLGwMuBTzJXMNYMKLCOgJZJsfgTVcoYFOCRwLdZlMWJolhiuCCLFOTb.pkg	MISSING	HP0082-BCAS20279_00-LRFF13PS3THEME02			2109984			Jul 23, 2026
NPEP00126	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00126_00/MELyPLVcmkqhFKSRdMtWbKtTRTvISEpXQJccREkhURugyobPIxdkBhVNXGSIOKTF.pkg	MISSING	EP0002-NPEP00126_00-CODMW3FREET00002			4980544			Jul 23, 2026
NPEP00235	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00235_00/toNfkJQarHZqqbuVTUkORWpMwuSrTIVhRoXlnAjqcwZukARHFeyuPNKSNDPPdCjNmYcBIWbeqLWepqJMOhottsZinKkjzdMDItuae.pkg	MISSING	EP0002-NPEP00235_00-TCALLOFDUT000001			12244368			Jul 23, 2026
NPEP00285	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0002/NPEP00285_00/ZKXAaQLdMPpLJhkWQwWPFEviVvEOBZhVrEGgFNuelHLIqGzJEKUqHIkrdObiMkIZ.pkg	MISSING	EP0002-NPEP00285_00-TKINGSQUES000001			3247024			Jul 23, 2026
NPEP00292	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0102/NPEP00292_00/nfCklujgHvVmJLOzUSrmPpukGNTiepDYZVgQurMfvqAjMklyjyezhbgndIuBkXUk.pkg	MISSING	EP0102-NPEP00292_00-BH0HDTHEME000001			16717280			Jul 23, 2026
NPEP00115	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0102/NPEP00115_00/dmOqIDjGiAdSXwOjWFqNowURGziOjAGGRninZjnnYQTAZNmajpPpbASVGnTHjufK.pkg	MISSING	EP0102-NPEP00115_00-STREETFI3O000001			11812480			Jul 23, 2026
NPEP00053	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0177/NPEP00053_00/iJo1WDm4PFjo4HvWMhb1rPBgmp8I8oWqlMjPsuLDqivYi3YRi08j42sgSOgjMvuutbumfq4wW3PEsKuYqfRLmDFasyYEPvYByTqLh.pkg	MISSING	EP0177-NPEP00053_00-AFTRBURNERCLIMAX			5703744			Jul 23, 2026
NPEP00173	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0700/NPEP00173_00/dztwKBnaMJXqiSDpMNpQNcVlLIeTysNZCdZsLVFRbHDqfbtUoABvkDeXkNLonSeH.pkg	MISSING	EP0700-NPEP00173_00-TTEKKENTAG000002			3192064			Jul 23, 2026
NPEP00173	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP0700/NPEP00173_00/KlwSyyCWCsSKPtmnzCicCMujnYITxpQgzhXtiwgnZwzuSVONRvNaMpSCzvQUEgwv.pkg	MISSING	EP0700-NPEP00173_00-TTEKKENTAG000003			13220928			Jul 23, 2026
NPEP00047	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP1006/NPEP00047_00/Mjaiyjof8VDDFjVL8cAeJIyKFD0PN2V0SMYogpm0atCYDerdYJEJMujKvR5qJ2FNGf7fiqVwxEAQ2hHKkQ6VJo5Q9B6lS49cVFtle.pkg	MISSING	EP1006-NPEP00047_00-TDISNEYTHE000001			3526672			Jul 23, 2026
NPEP00060	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4171/NPEP00060_00/b3RIdGXUU6O59XgxMxYEclTtptBFPVVycvno2vPV8Lh7DdnGawxinM22ATKQjmcH.pkg	MISSING	EP4171-NPEP00060_00-GOLDFISHPOND0001			2426112			Jul 23, 2026
NPEP00060	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4171/NPEP00060_00/U2HjUMybouqMbKtbLHCPqG1dBsfSviAdLfpwieLfs9swVNRXThINc9KNwnBtCTvN.pkg	MISSING	EP4171-NPEP00060_00-TTANTALUSTEU0001			1424208			Jul 23, 2026
NPEP00074	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4218/NPEP00074_00/LwBImmDReDVMObpISuDrRhPdWjcLaUHQJICvDLqwViUasfpVvnGWEIIqbWNYrdme.pkg	MISSING	EP4218-NPEP00074_00-2012120314390002			4285696			Jul 23, 2026
NPEP00074	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4218/NPEP00074_00/fwFGbNgIPFeMNxDAGiJFGOjVjqmLrWvTydUWETkDwomgFQsrqXeFNFAxZMYQRlEH.pkg	MISSING	EP4218-NPEP00074_00-LAMADYNTHEME0034			6369904			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/TbTLkmUAdFLkGTQcDvvykKxVpFqMkwmyXxzNDjthcRLjdbhNiwcrKSKqYCXETRfF.pkg	MISSING	EP4312-NPEP00091_00-SM001ENGLDSOCCER			10604752			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/dQCKdosdDhzhFyDPdYoxeGEPIpkIKWZoHMKvXmIOjfITbNTVwWDmQaCBFPevDJjA.pkg	MISSING	EP4312-NPEP00091_00-TSMOBILETH000063			11626256			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/hpSeGMvrJjZyOTYlcklemYcoxaSAabgFyymTVUvMQAfqMxmgFHHmBVArCcGmMRkz.pkg	MISSING	EP4312-NPEP00091_00-TSMOBILETH000188			6582560			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/rUhrjkWEjsHdHbmVGHlKAysafWtsVbhebnRGVMZdmfragqhoWCSBRNCreoFQpuli.pkg	MISSING	EP4312-NPEP00091_00-TSMOBILETH000247			9834880			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/CtMXnYVzArfKmRqCCeLZWxQuPdTLNEcHORrxcCEOhDOodirYKvWuhDYuTssndcip.pkg	MISSING	EP4312-NPEP00091_00-TSMOBILETH000261			9071440			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/HaEioSWjqrJWXwQLycZlJwLIwITAyUcWPiTLvkDHaHlZdpfovEKKbwkECvryBELL.pkg	MISSING	EP4312-NPEP00091_00-TSMOBILETH000272			10162752			Jul 23, 2026
NPEP00087	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4313/NPEP00087_00/XjugCIPivXjAXWHHuuSdAugmLyZRYgSFAKmVPCdIBsYsMHQxkqPlkpUcFegDxRmu.pkg	MISSING	EP4313-NPEP00087_00-TLEVIATHAN000011			74804176			Jul 23, 2026
NPEP00091	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4312/NPEP00091_00/HexeTfniHHMXhZuMZCRUbNvkaDvXtbWAOqtviMgkDBCMbaSjvSpNdhjZSJDLHbaH.pkg	MISSING	EP4312-NPEP00091_00-TSMOBILETH000320			9274144			Jul 23, 2026
NPEP00087	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4313/NPEP00087_00/sBGhAOOxBHwSadAtbzBkxqXGETuXUWTQJFTieCOjAoSToZgIMaUnRZiZHxyAocgA.pkg	MISSING	EP4313-NPEP00087_00-TLEVIATHAN000014			110612192			Jul 23, 2026
NPEO00049	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00049_00/omIeUDQUNMXWxllvcanpkrkcqpUFNmllKDvOnVJnAaVskDFCCEMqLsfTKFfXDSVw.pkg	MISSING	EP9000-NPEO00049_00-TFATPRINCE000002			2052960			Jul 23, 2026
NPEO00052	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00052_00/l99I13KPwrfT7drnv11Ae4eVojUOcphh2Ovvh6hcCBFXhULcIP39yKC6oSI594nN22BfAqNanL2fPUsPg5fFvoofpHL7qma0ddHUv.pkg	MISSING	EP9000-NPEO00052_00-TWHITEKNIG000002			6837520			Jul 23, 2026
NPEO00085	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00085_00/mo2NWFH35aWyfKxr2hN7tg13AoKpprK47Aah2dWnQwfvvlB3mL779ll5dVtQqAp8.pkg	MISSING	EP9000-NPEO00085_00-TDEADNATIO000001			5145024			Jul 23, 2026
NPEO00087	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00087_00/sELEGsgZVSHAFgQwhlzRMlNyHUJXYYzniMRsIMloueSVfphVVvPHESbcEJtVmubp.pkg	MISSING	EP9000-NPEO00087_00-PLUSTHEME00JUN13			2776512			Jul 23, 2026
NPEO00100	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00100_00/QKjHNYWzsJXlORhQUaUdBHuirEWDZQVwBjpwPaLfctEZeNoTasVwcOfcrtMhOaPM.pkg	MISSING	EP9000-NPEO00100_00-TUNCHARTED000001			5843248			Jul 23, 2026
NPEO00140	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00140_00/JCOxTjSlEotRDmDvDyRYkmFfZdUKPTKTGtkScDimhDzmVTooWIhcorvEdnbDjEbf.pkg	MISSING	EP9000-NPEO00140_00-TESCAPEPLA000001			1869968			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/KvvSeVFTvmJLquDgnsumgpQSIOWEEfsWPpnWVuJUhgQIimjLLLczWlHQriKjPWEo.pkg	MISSING	EP9000-NPEO00154_00-MADMAXDYNTHM00FR			4225120			Jul 23, 2026
NPEO00154	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00154_00/HgPHMefgftLQGIZUkjCgoBxVwflOACixnWFGcFLFuxgTPVpXidezuyskmYXsEawC.pkg	MISSING	EP9000-NPEO00154_00-GODZILLA000000FR			2345232			Jul 23, 2026
NPEP00026	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/ET0001/NPEP00026_00/fdcjOdOAeEjwBqFODvtTboEFCFEDxnTelthVGcXRbWClZjGhFMwasPWdBJNgbPyg.pkg	MISSING	ET0001-NPEP00026_00-DP1EAR1BLUEPLANE			3394576			Jul 23, 2026
NPEP00026	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/ET0001/NPEP00026_00/UQSOrDxyNmFykEQycYVGQiXCFzlffNtJJqlnwlrUwKgbSscZthpWSayFIKIvmdPa.pkg	MISSING	ET0001-NPEP00026_00-DP1FAN1STEAMPUUS			10095712			Jul 23, 2026
NPEP00026	EU	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/ET0001/NPEP00026_00/vnZKJluyLwfbZrvWIIGltYmbSbJvIPPWEsyxoCygbyQBfMkyRzuSghuUefWRtOrf.pkg	MISSING	ET0001-NPEP00026_00-DP1FAN1FURYHUNTR			12816688			Jul 23, 2026
