Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
BLUS30050	US	What Was I Thinkin'	http://zeus.dl.playstation.net/cdn/UP0006/BLUS30050_00/iM9XWNdgoakLJ4A78evPv1T5uiw8QlveajWIW0AhrbO3BtSakvmi9sG3tpdb1P1JGoM11GkmwYrNqyU4mN5v7ksnHuoPwd5xglFkB.pkg	MISSING	UP0006-BLUS30050_00-RBWHATWASCCF04FC			34349968			Sep 05, 2026
BLJM60060	JP	Additional Characters for Online Competition #1	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/Cu5ukAjqjl4dbwWSsgld3GFWrHIaw35NQeoqRDjxKOOMBVQ4cJOABA4L1EeG6jVAMPErOyBA69I0RSvyLU5plnqUkWK4IYrUlcrVS.pkg	684d48913c3c93f5abc066343181620c	JP0642-BLJM60060_00-0000VRACDLCH0001			102400			Sep 02, 2026
BLJM60060	JP	Additional Characters for Online Competition #2	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/NM27XieXXqmvhmbOHDdJTYByowaYnoxDgkdR7fwh4iO0NnJJKKxaEcvMjeAIB7pViqhnjXDvORlhnOTd1Xaa7f9Tgp80aj07vRMGA.pkg	586d51dfd3ed6ff65f47fe2295970cc8	JP0642-BLJM60060_00-0000VRACDLCH0002			102400			Sep 02, 2026
BLJM60060	JP	Additional Characters for Online Competition #3	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/9TKnAgiOcG2PsjyoPp3jhMwJJHBSvRSQBCLUbeRetXsKVXrQA0JCjSrIYIOjXkQO0RdGBYPq87x7CiqfO4cG25AUN2fuic9ajgA5v.pkg	9e260b649a0583ae9fd2b74f0e6175f1	JP0642-BLJM60060_00-0000VRACDLCH0003			102400			Sep 02, 2026
BLJM60060	JP	Additional Characters for Online Competition #4	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/EP7haRKXkg7GsxOArEJ3jYtORvpJMU9yEMPhsJvc73mMujrIYh4gndVsmXceG5XsKHWQNsi91nPDeLsUDI9rtJHPfSa97UWpruNxF.pkg	dddb61815f46d2ea084242125e5e18d6	JP0642-BLJM60060_00-0000VRACDLCH0004			102400			Sep 02, 2026
BLJM60060	JP	Additional Characters for Online Competition #5	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/KGB5icsfnKryiwlDRmcWhk6La4epfDA4von2WIVBq2sbfUw6P4utd6nOa60Q2CDggJPq4S8yjpeakJor1rKBUt8Psso9hF6xpUu8Y.pkg	fdc7d1e868197534328d876d12a31faf	JP0642-BLJM60060_00-0000VRACDLCH0005			102400			Sep 02, 2026
BLJM60060	JP	Additional Maps for Online Competition #1	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/pJ14RB1sP4bXCvecd7MG9JXAYSqg4AuBysXJd5FOCM9i3eM1Dqt0rNUXk0GjAOGvUWYgUKg31Ic5n5BF4xmVXAtssrgUBa9nUihjk.pkg	de452f2356368d28b146fe48cff22e9f	JP0642-BLJM60060_00-0000VRACDLMAP001			102736			Sep 02, 2026
BLJM60060	JP	Additional Maps for Online Competition #2	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/EjmTbfntnUEiPYasMEwBLX1p4EWEE61Eg7imYQfuhs0LHM5H0nas98ae7nD8R8Kupp4hLVpLVHUW70I3AWatqge0BYAweAwbt0Sxv.pkg	20c279ce83c247b71a7b0f945a78e54d	JP0642-BLJM60060_00-0000VRACDLMAP002			102736			Sep 02, 2026
BLJM60060	JP	Additional Online Matches #1	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/eWcl9CVTwP5ah5ODpWlOWfbPrIQ0vkSEhBr0XYhobNX5Xvc1aoumTk2VvhHf3bhjklxACKSI1bPfwLDVaIWw7ne3ya3yX2HMpNyPt.pkg	3c5d8338100475aca77e7a627b064f70	JP0642-BLJM60060_00-0000VRACDLRULE01			102672			Sep 02, 2026
BLJM60060	JP	Additional Online Matches #2	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/eClA9X2R6yCvKPl4JQSeCvN2K5bGqea2AtQ2YQDSyXnMTA3OarIrU6hk4Rgk6Vx5jC4iXJkxR4p9gHd74VrTF3mVNVhSR59SPXaCx.pkg	9d8797f9d39282932c2780dafa35b3f3	JP0642-BLJM60060_00-0000VRACDLRULE02			102672			Sep 02, 2026
BLJM60060	JP	Additional Online Matches #3	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/CVqyEigRd5O363efCOMu1sI8rSae40ofP8lGeDNIWOAKLg1a1kpkqj60caePEhQbWQBGAFMyh1MuNYeCFHvljmbO5x0qG7hwxvCo7.pkg	b77fb81eaf1a370fca6d64a3d4afe4cd	JP0642-BLJM60060_00-0000VRACDLRULE03			102672			Sep 02, 2026
BLJM60060	JP	Additional Trial Mission #1	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/5eRXDIh8mn7KDPiVkHCGrf75eyyipBDLpCvqHq4e39SHj0k8L92fTv2PLy9xOpE46rDYquggnliCHSmTMgangwI6hHghNm50kpUq7.pkg	5b77d02cf359ff6fa697e1db7317d383	JP0642-BLJM60060_00-0000VRACDLTR0001			310448			Sep 02, 2026
BLJM60060	JP	Additional Trial Mission #2	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/BHqjpvQouGvscd3g4qJ6NoyBGmlEJd1XieKggqYLMhkPoFRifdOqL7XF5u7YKdwFUW2BElJUMSgFGCKEjTkJuaU7GDeYXcbb9rp1H.pkg	6da485e5d8d70b9226461dc35a6e7849	JP0642-BLJM60060_00-0000VRACDLTR0002			304448			Sep 02, 2026
BLJM60060	JP	Additional Trial Mission #3	http://zeus.dl.playstation.net/cdn/JP0642/BLJM60060_00/Rc9gsy1ePGSQY8D91lnADmw6k1SrKCosXpC31PneufAAdFaSEclnoLP8CDyvJ6nu548mkRUL7WInNXxlEGqAd3tYqkoLapoxtChys.pkg	f0a370c7225fe2df2906ea9540bdd6b9	JP0642-BLJM60060_00-0000VRACDLTR0003			622576			Sep 02, 2026
BLUS30080	US	STRANGLEHOLD Map Pack 1	http://zeus.dl.playstation.net/cdn/UP0178/BLUS30080_00/dI6MXlfepX5liydGIB8fnGjC8tJTJXSQADphGJVbMeNLc7K5IO9Y6VUQk8em1BWtSS662Py3shUVChtONX9fTpwN88lvM0Ru8xu1S.pkg	e9b7c30531eb2abe9cabc9f98ff55da0	UP0178-BLUS30080_00-STRANGLEHOLDDLC1			467608048			Sep 02, 2026
BLUS30081	US	STRANGLEHOLD Map Pack 1	http://zeus.dl.playstation.net/cdn/UP0178/BLUS30081_00/OP8b3CoLKwWLVkj81rs7X6jG1pk14ujKx3WRS8H6YiK8iyk7cAkMtmUxq8rdmr1uFl1yh4cYOtUVH7V1gRCsUfkXlMARt1944TqHw.pkg	83ff1a7fe62f1735aa449448f26c876b	UP0178-BLUS30081_00-STRANGLEHOLDDLC1			467608048			Sep 02, 2026
BCES00850	EU	Garrus Vakarian Costume	http://zeus.dl.playstation.net/cdn/EP9000/BCES00850_00/FBUEEdkOcikReaSZdhKdrisoNLaXrptIDOCHcgvMlEijFHvvZmaGYHYjVeAIxYRQ.pkg	37e51de62adf5d79541455965a989294	EP9000-BCES00850_00-LBPDLCEAMECO0004			112192			Sep 01, 2026
BLES00833	EU	SHOCKWAVE Character Unlock	http://zeus.dl.playstation.net/cdn/EP0002/BLES00833_00/q1nFb9mKvbj4pYCgtONXaUD1h77G8Vxf7CQWVkjsrFNxmNEkgXVfvD32X49uS9b1SXXxqS8eqQ0RE7dLJ7Qt98Ws9YIpLj750c5Dl.pkg	4b53e7237ff0d8563db9d9698a1dcf2f	EP0002-BLES00833_00-TFWFCDLC00000002			162000			Sep 01, 2026
BCES00141	EU	Boudicca Costume	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/PkTKk1EndgbTJayD2yJbm5sPryuVbQAjw9SNCAiSFI1OdCpEVtNVOqwiNcLdXJ9YnRsTuuiX8PcWYwGHsNNsY7lSfh9SDEkwmd5A6.pkg	4beaa1c86b155e39c8798a5ee84064cf	EP9000-BCES00141_00-LBPDLCORIGCO0024			1091536			Sep 01, 2026
BCES00701	EU	Backburn Mod BCES-00701	http://zeus.dl.playstation.net/cdn/EP9000/BCES00701_00/NTDkTnXPYqGURCccBZleecoyfZOGnANFnWfGiANOuUCaezBellqOUtmHHApbhnia.pkg	9a05d8e129ce29a0905eff4fba57d1a5	EP9000-BCES00701_00-UFGBACKBURNCHARX			102400			Sep 01, 2026
BCES00701	EU	Backburn Kart BCES-00701	http://zeus.dl.playstation.net/cdn/EP9000/BCES00701_00/maNiwxBpbpFcJBWqAgvaIrVziTClHFpNGVnPgXNbOyQstpdzxYKKMOFvuePlhdOz.pkg	a810732e30d7e232a405313e3018b27d	EP9000-BCES00701_00-UFGBACKBURNKARTX			102400			Sep 01, 2026
BCES00764	EU	Backburn Kart BCES-00764	http://zeus.dl.playstation.net/cdn/EP9000/BCES00764_00/JLbZkIRYMpIQBaLKdPwQzIFibAiNCkFCIscHYKbNOlpLtvfDNzlUgubwbTpVPcbA.pkg	3761571f5951d2fa59c63e982a9cc3b1	EP9000-BCES00764_00-UFGBACKBURNKARTX			102400			Sep 01, 2026
BCES00764	EU	Backburn Mod BCES-00764	http://zeus.dl.playstation.net/cdn/EP9000/BCES00764_00/WqfJfvONhUkfLxCPoBDuVRazXkKXbzUcNuxOcWmbwAvNnSnbtIEiUKmdNJjoiPlY.pkg	dc9c1b46fea86fd0771a5857628ed8d0	EP9000-BCES00764_00-UFGBACKBURNCHARX			102400			Sep 01, 2026
BCES00764	EU	Vanman Kart BCES-00764	http://zeus.dl.playstation.net/cdn/EP9000/BCES00764_00/WmGYTggfvs1gxrOlc4MVBcGw2s26s4SHLHnNYPWEc6l8EJkOuaC93VoSk6d1ofyT5ALCtMK2dJsKQXu8PNqsCoKlEWkpasQ3C7Dfg.pkg	db3c6bb6e5656f531bc0ee747d8ab2dc	EP9000-BCES00764_00-UFGVANMANKARTXXX			102400			Sep 01, 2026
BCES00764	EU	Vanman Mod BCES-00764	http://zeus.dl.playstation.net/cdn/EP9000/BCES00764_00/cCifMupPRYL7PyX86l2dQ8UCel3IsGOwSWdFVg1dmhFetPE7p0xY07HCoqQcJB1LNPbgjyCTcwSJuKSgrTABOnwnM7dVoNjol35tg.pkg	e35652391e479a4171428fde1c834975	EP9000-BCES00764_00-UFGVANMANCHARXXX			102400			Sep 01, 2026
BCES00850	EU	Toy Story 1 Costume Pack	http://zeus.dl.playstation.net/cdn/EP9000/BCES00850_00/KaOuujnYpPaArJrRmtKtIlsoAFFnNtRPUeYVPImkNdRvONxxIUJcWMppTLtNnuls.pkg	6623dca170b82632f0c954c3165d519e	EP9000-BCES00850_00-LBPDLCDSTSCK0001			112272			Sep 01, 2026
