type	title_id	content_id	name	pkg_url	reason
decrypt_failed	BCUS98472	UP9000-BCUS98472_00-PSASPREORDERCSTM	PlayStation All-Stars Battle Royale - Pre-Order 2 Theme	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98472_00/mgoomltcaHrPocgZXjzAxUvkqNEAZpeWaaHcpugvVDWypmywMBiAslwtfeqnzCckUVHKpajMXLitVhFZCsjlqckWZMdJxvgalxlHQ.pkg	No P3TF after EDAT decrypt attempts
entry_error	NPUO80496	MISSING	The Tester 2 - Theme	http://poseidon.dl.playstation.net/cdn/UP9000/NPUO80496_00/FREE_CONTENTUYTTPvVEfv9O7hcXLVyc/Tester%202%20theme.p3t	Not a valid PKG file: magic=b'P3TF'
decrypt_failed	NPJQ00006	JP9000-NPJQ00006_00-0000000000000000	Afrika Dynamic Theme	http://zeus.dl.playstation.net/cdn/JP9000/NPJQ00006_00/KrF5OyOpetxsooM5PToGAAy8aAibdBGqTWtsu8Dl718bO56XwjQIvwfp9A7vrNj1G2oIfqn9cmmd6irkGu1FEbT7JruKJG1goOM00.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO00087	EP9000-NPEO00087_00-PLUSTHEME00MAY13	Hitman Absolution Dynamic Theme	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00087_00/dxzSIIjXNFwvgsrmmQAHNzUUQzJZyXmNLiyUEqrnakPGLasieQAeStgkKPQydsuQ.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO00099	EP9000-NPEO00099_00-TKILLZONE3000005	Killzone®3 Winter Assault Killzone®3 Winter Assault Theme	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00099_00/FFrwCFdrMsUeTPYbPWwZHxYrWseVESsdklbiOAjwoXbyGxWTBhCjcKDElcqRDFyE.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO00099	EP9000-NPEO00099_00-TKILLZONE3000003	Killzone®3 Dynamic Theme	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00099_00/JfLfhVupkVSbfqzGXVuJhBjdtZMHEMsYgoOxvFPRHvhPkvpKGgxGxErxjOxJMvTM.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO00153	EP9000-NPEO00153_00-TBOOKOFSPE0000PL	Wonderbook Dynamic Theme	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00153_00/DUHqaqjuXgelAyqIsqikYzOfaJDzQFLaAQvZWlppDaplNljAHkLDbsnoBIvQvzaz.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO00160	EP9000-NPEO00160_00-TGODOFWARA000002	God of War: Ascension Dynamic Theme 2	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00160_00/mwtofFsRDjDMADVeREeOuuSKkVjqsQCEbLwzvRJHLuoDSWaTWaJiKqvNIuiqJTXx.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO00168	EP9000-NPEO00168_00-TPLAYSTATI000003	Knack™ Theme	http://zeus.dl.playstation.net/cdn/EP9000/NPEO00168_00/BDOQnVoirkPbMSWvmkgSEpNTnbjXMcQOmlXwdXShsGTAtAMriYuXYQnApjklbkiN.pkg	No P3TF after EDAT decrypt attempts
decrypt_failed	NPEO50025	EP9000-NPEO50025_00-WKAHOOTSWA000001	Kahoots Wallpaper	http://zeus.dl.playstation.net/cdn/EP9000/NPEO50025_00/eGhRsSGwcN1Rm76vakEaLMVbEkRqHeuhfR15UkhOkMYvLMbUVJNHfUVat9V4L4mNjXgPuMWKg8DseJStSLmuKHMSGAwwOkN733cin.pkg	No P3TF after EDAT decrypt attempts
