BLES00911	EU	AC Brotherhood (Update)	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES00911/BLES00911_T8/0fc2669d908fa43b/EP0001-BLES00911_00-AC2TITLEUPDATE05-A0203-V0100-PE.pkg	NOT REQUIRED	EP0001-BLES00911_00-AC2TITLEUPDATE05-A0203-V0100-PE			34288480		v02.03
BLES01384	EU	AC Revelations	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES01384/BLES01384_T27/61279f6048ed68a9/EP0001-BLES01384_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	EP0001-BLES01384_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729616		v01.04
BLJM60412	JP	AC Revelations	http://b0.ww.np.dl.playstation.net/tppkg/np/BLJM60412/BLJM60412_T23/13b54d155ca91f34/JP0001-BLJM60412_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	JP0001-BLJM60412_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729056		v01.04
BLKS20325	ASIA	AC Revelations	http://b0.ww.np.dl.playstation.net/tppkg/np/BLKS20325/BLKS20325_T21/9467f79879261c97/KP0001-BLKS20325_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	KP0001-BLKS20325_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729056		v01.04
BLUS30808	US	AC Revelations	http://b0.ww.np.dl.playstation.net/tppkg/np/BLUS30808/BLUS30808_T26/53255aa053589202/UP0001-BLUS30808_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	UP0001-BLUS30808_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729616		v01.04
NPEB00880	EU	AC Revelations	http://b0.ww.np.dl.playstation.net/tppkg/np/NPEB00880/NPEB00880_T0/5eadf3535ab70418/EP0001-NPEB00880_00-ACRDIGITALVER001-A0101-V0100-PE.pkg	NOT REQUIRED	EP0001-NPEB00880_00-ACRDIGITALVER001-A0101-V0100-PE			51691808		v01.01
NPUB30707	US	AC Revelations	http://b0.ww.np.dl.playstation.net/tppkg/np/NPUB30707/NPUB30707_T0/c1da4cf6bd4fd835/UP0001-NPUB30707_00-ACRDIGITALVER001-A0101-V0100-PE.pkg	NOT REQUIRED	UP0001-NPUB30707_00-ACRDIGITALVER001-A0101-V0100-PE			51691808		v01.01
BLES01385	EU	AC Revelations (Update)	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES01385/BLES01385_T26/0e95b3ccc3754ced/EP0001-BLES01385_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	EP0001-BLES01385_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729616		v01.04
BLES01466	EU	AC Revelations (Update)	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES01466/BLES01466_T25/e2bd4f6b096f90d4/EP0001-BLES01466_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	EP0001-BLES01466_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729616		v01.04
BLES01467	EU	AC Revelations (Update)	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES01467/BLES01467_T25/1cdce6387c33752d/EP0001-BLES01467_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	EP0001-BLES01467_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729616		v01.04
BLUS30905	US	AC Revelations (Update)	http://b0.ww.np.dl.playstation.net/tppkg/np/BLUS30905/BLUS30905_T21/3025548d2535b2a7/UP0001-BLUS30905_00-ACRTITLEUPDATE04-A0104-V0100-PE.pkg	NOT REQUIRED	UP0001-BLUS30905_00-ACRTITLEUPDATE04-A0104-V0100-PE			53729616		v01.04
BLET70017	EU	AC Revelations - Multiplayer Beta	http://b0.ww.np.dl.playstation.net/tppkg/np/BLET70017/BLET70017_T7/a2dc9e2cdfd1e5d0/EP0001-BLET70017_00-ACREVELATIONS00B-A0104-V0100-PE.pkg	NOT REQUIRED	EP0001-BLET70017_00-ACREVELATIONS00B-A0104-V0100-PE			160903360		v01.04
NPUB90674	US	AC Revelations - Multiplayer Beta	http://b0.ww.np.dl.playstation.net/tppkg/np/NPUB90674/NPUB90674_T6/40d28d4d050102f7/UP0001-NPUB90674_00-ACREVELATIONS00B-A0104-V0100-PE.pkg	NOT REQUIRED	UP0001-NPUB90674_00-ACREVELATIONS00B-A0104-V0100-PE			160903360		v01.04
BLAS50375	ASIA	ACE COMBAT ASSAULT HORIZON [ASIA]	http://b0.ww.np.dl.playstation.net/tppkg/np/BLAS50375/BLAS50375_T1/4fb4509ef360a49d/HP0700-BLAS50375_00-ACAHUPDATE000002-A0102-V0100-PE.pkg	NOT REQUIRED	HP0700-BLAS50375_00-ACAHUPDATE000002-A0102-V0100-PE			4549712		v01.02
BLES01392	EU	ACE COMBAT ASSAULT HORIZON [EU]	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES01392/BLES01392_T1/4ed43320273154db/EP0700-BLES01392_00-ACAHUPDATE000002-A0102-V0100-PE.pkg	NOT REQUIRED	EP0700-BLES01392_00-ACAHUPDATE000002-A0102-V0100-PE			4549712		v01.02
BLJS10127	JP	ACE COMBAT ASSAULT HORIZON [JP]	http://b0.ww.np.dl.playstation.net/tppkg/np/BLJS10127/BLJS10127_T2/b4d5e6a3329b8dd9/JP0700-BLJS10127_00-ACAHUPDATE000002-A0102-V0100-PE.pkg	NOT REQUIRED	JP0700-BLJS10127_00-ACAHUPDATE000002-A0102-V0100-PE			4549712		v01.02
BLES01393	EU	ACE COMBAT ASSAULT HORIZON [UK/RU]	http://b0.ww.np.dl.playstation.net/tppkg/np/BLES01393/BLES01393_T1/fd78118e530b09b1/EP0700-BLES01393_00-ACAHUPDATE000002-A0102-V0100-PE.pkg	NOT REQUIRED	EP0700-BLES01393_00-ACAHUPDATE000002-A0102-V0100-PE			4549712		v01.02
