type	title_id	content_id	name	pkg_url	reason
failed_edat	BCUS98227	UP9000-BCUS98227_00-UAPPMOONBEARKING	Puppeteer™ Moon Bear King Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98227_00/HKmDwUuYsIlenitOqywVxWydcJiSXwEFLYiBtUCFFMqMmFclzWisfQHpajwEBwtF.pkg	1 EDAT(s) had no PNG
failed_edat	BCUS98227	UP9000-BCUS98227_00-UAPPKUTARO000000	Puppeteer™ Kutaro Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98227_00/mTaLbpLDZZOIXFlrqWzUzIcZdeCSrzFPeXvCtBCRHgekMrRqZjPWaaezSymgDBXL.pkg	1 EDAT(s) had no PNG
failed_edat	BCUS98227	UP9000-BCUS98227_00-UAPPMOONWITCH000	Puppeteer™ Moon Witch Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98227_00/kNYoqoALMcNuHYfNtKnbxrxcMXVIErlfVkwBCGOKzSEbqkvdzZzmVHFIUSlRKNiW.pkg	1 EDAT(s) had no PNG
failed_edat	PCSB00205	EP4034-PCSB00205_00-AVVIRTUESL000012	Phi	http://zeus.dl.playstation.net/cdn/EP4034/PCSB00205_00/qxPGEPZWYtiBkysxOVnRvaRmJEecLuwMrDQaEHtnJWuEYBwtyjpZHZSzwpApJWOE.pkg	1 EDAT(s) had no PNG
failed_edat	PCSB00601	EP4492-PCSB00601_00-AVSENRANKA000022	Daidōji Avatar	http://zeus.dl.playstation.net/cdn/EP4492/PCSB00601_00/JpKDoJLLjYkWJzSbcVlxgglRpGTOXYOkdpqHcQqhxCvELJdPNMgjQxXYlaqNbcHq.pkg	1 EDAT(s) had no PNG
failed_edat	PCSF00003	EP9000-PCSF00003_00-AVARESISTBSCHIME	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00003_00/ykGzpYbpWbSznshfPDYXXICrITzKOaeHojcVCrSxAOGFQsRGHbdLMfQFjYSjrnIv.pkg	1 EDAT(s) had no PNG
failed_edat	PCSF00003	EP9000-PCSF00003_00-AVARESISTBSELLIE	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00003_00/fXHgPRuyvAWBTSLAznNXpkNUWBceCEXWjPsElGEgLuMacDbgGraDsCmfIaFoWevl.pkg	1 EDAT(s) had no PNG
failed_edat	PCSF00003	EP9000-PCSF00003_00-AVARESISTBSRILEY	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00003_00/hOlhYBaocmOquFCJMqmYrXfHiAwfDPvMtnPiwkVEXaLdWShlqJwSuEZgDQOAfBXY.pkg	1 EDAT(s) had no PNG
failed_edat	BLUS31015	UP1005-BLUS31015_00-AVAWW13THEROCK00	WWE '13 The Rock Avatar	http://zeus.dl.playstation.net/cdn/UP1005/BLUS31015_00/uqeEXTuwCLPXxASPApZXMqPjpCVlolsqjbUGNslUviIrrJZgdOkFgkTDvQUBbxVD.pkg	1 EDAT(s) had no PNG
failed_edat	BLUS31015	UP1005-BLUS31015_00-AVAWW13MANKIND00	WWE '13 Mankind Avatar	http://zeus.dl.playstation.net/cdn/UP1005/BLUS31015_00/FKRsCVOdISHvTdzCwloteUVlaUDIqcDLphzPeqSuSkxeleflkbCeOyJunlGgdhAt.pkg	1 EDAT(s) had no PNG
failed_edat	BLUS31015	UP1005-BLUS31015_00-AVAWW13TRIPLEH00	WWE '13 Triple H Avatar	http://zeus.dl.playstation.net/cdn/UP1005/BLUS31015_00/dpDlJigCHsrowaBLpIFgBCCUiIWzpGawfgdjRAHChoVtcBEcsapGdfCyvuOOsjOA.pkg	1 EDAT(s) had no PNG
failed_edat	BLUS31015	UP1005-BLUS31015_00-AVAWW13SHEAMUS00	WWE '13 Sheamus Avatar	http://zeus.dl.playstation.net/cdn/UP1005/BLUS31015_00/FgflwePZUpwruMiGJCUXwAEPEDNrhArpVKOrQkOSyfpUJaHTSguHWspWvkzhrmyt.pkg	1 EDAT(s) had no PNG
failed_edat	NPEA00391	EP9000-NPEA00391_00-AVASTUDIOJBURG01	Jon Burgerman Avatar 1	http://zeus.dl.playstation.net/cdn/EP9000/NPEA00391_00/VdmVbADAIXtnxvNGKeEJdqRqUdMGPqwQRnkQIJhloiAHcXSbXvSzngzwtjPyOLpr.pkg	1 EDAT(s) had no PNG
failed_edat	NPEA00391	EP9000-NPEA00391_00-AVASTUDIOCRAIG06	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP9000/NPEA00391_00/YGcLnlFGwHhgQeMNWkWGsnVwmNoQogtzaIvJqaEwTKVdtyTYqerXVSFBxPbeBGpR.pkg	1 EDAT(s) had no PNG
failed_edat	NPHO00131	HP9000-NPHO00131_00-AVAJOURNEYWONDER	Journey Wonder XMB™ Premium Avatar	http://zeus.dl.playstation.net/cdn/HP9000/NPHO00131_00/BXORgwyEaheiubOjuEWhTNTJNUdRBomlzLnmoruXLjHBwcUQvCjgekCbXsxsrbbyEcsmAyqUWjKQFlnteAPdTKBjXXcXnTzfLgRjV.pkg	1 EDAT(s) had no PNG
failed_edat	NPHO00131	HP9000-NPHO00131_00-AVAJOURNEYRETURN	Journey Return XMB™ Premium Avatar	http://zeus.dl.playstation.net/cdn/HP9000/NPHO00131_00/BsDxsefWQBAdBdpkttkEsIYeflwdPWQZYxyYJCjjfgrAZOIbcHZvryhQVjjpwbyxNSxCsxvtltIHFssrKlFGtRKwnYdKKWqMfaYLp.pkg	1 EDAT(s) had no PNG
failed_edat	NPUB31588	UP2099-NPUB31588_00-UAPOPULUSN000071	WELCOME TO MEXICO AVATAR	http://zeus.dl.playstation.net/cdn/UP2099/NPUB31588_00/UP2099-NPUB31588_00-UAPOPULUSN000071_bg_1_060d466278cd068e438615ad987667c788aebd41.pkg	1 EDAT(s) had no PNG
failed_edat	BLES01386	EP0001-BLES01386_00-AVRAYMANOR000008	Rayman® Origins - Pirahna Avatar	http://zeus.dl.playstation.net/cdn/EP0001/BLES01386_00/wzNowVDXQuODFevKuczLZTJlgWgAoIrAWPQsYzygeseYfLrFArFsZtXQjIAjYuLx.pkg	1 EDAT(s) had no PNG
failed_edat	BLUS30901	UP1063-BLUS30901_00-AVAHNMK2UNI00000	Hyperdimension Neptunia mk2: Uni Avatar	http://zeus.dl.playstation.net/cdn/UP1063/BLUS30901_00/TeKJnXqAThPhmmuoVMMceeYlhlPZJyVvoSHjkdmvwMsevPTgJXeGORpbvFfLJAEm.pkg	1 EDAT(s) had no PNG
failed_edat	BCUS98295	UP9000-BCUS98295_00-AVAMLB12BLUEJAYS	MLB® 12 The Show™ Toronto Blue Jays Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98295_00/zgqjokGRoWzUkKVmKyWkmvXXysMuzZNpyYacDetuePstycNkTSttKuXmuYtopjeIlHoviEhjSZSKNYguPkLsATnEjOSmPADZJApHK.pkg	1 EDAT(s) had no PNG
failed_edat	PCSB00601	EP4492-PCSB00601_00-AVSENRANKA000001	UNKNOWN TITLE	http://zeus.dl.playstation.net/cdn/EP4492/PCSB00601_00/NduKgUKOGUHFhMKOoXTnfJuCgEiZRhADrXyqoCrokaaCjxdUOGxDNxrAtQKrQVSH.pkg	1 EDAT(s) had no PNG
failed_edat	BCES00141	EP9000-BCES00141_00-AVLITTLEBI000034	Sackboy Nederland	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/TvwgEur00qkSKOOOn7YA1GIHbMtsOm8hNFcFiMByDmieHFcvvyeQAAMQfUXgINnBugOOXOnHXNCU5kJuKwGTub6L4DcKkjoA00sDl.pkg	1 EDAT(s) had no PNG
failed_edat	NPJQ80001	JP9000-NPJQ80001_00-AVATAR1012150001	無限回廊™　プレミアムアバター２	http://zeus.dl.playstation.net/cdn/JP9000/NPJQ80001_00/CoxxEgibIupSAjTrPqwaHyBdczOpTCVmTCiHHIlgfCslruOujVQcNGGLPJXbRZAGDTeGhXiZVaXHcoAzFTagMYuWWQgMxuBTxfFRW.pkg	1 EDAT(s) had no PNG
failed_edat	NPJQ80001	JP9000-NPJQ80001_00-AVATAR1012150002	無限回廊™　プレミアムアバター３	http://zeus.dl.playstation.net/cdn/JP9000/NPJQ80001_00/VWRcVpxtKPYwafVyEzWbMkvEBqUCZLacvgaRpIWywSHdClqussfIJukohsXwouVPQSJIIReIoWnNjuIxXaAlVpRtvPnHHOMSeumSf.pkg	1 EDAT(s) had no PNG
