# PS3 Classic child content index v1
# I\tTITLE_ID\tFLAGS(D/A/T)
# L\tTITLE_ID\tDLC_NAME\tCONTENT_ID
I	BLES01265	D
I	BLES01269	D
I	BLES01275	D
I	BLES01287	D
I	BLES01288	DA
I	BLES01290	D
I	BLES01298	D
I	BLES01301	D
I	BLES01329	D
I	BLES01330	D
I	BLES01342	D
I	BLES01347	D
I	BLES01348	D
I	BLES01368	D
I	BLES01371	D
I	BLES01377	D
I	BLES01381	D
I	BLES01384	D
I	BLES01393	D
I	BLES01396	D
I	BLES01399	D
I	BLES01403	D
I	BLES01409	A
I	BLES01437	D
I	BLES01439	D
I	BLES01455	D
I	BLES01462	D
I	BLES01465	D
I	BLES01492	D
I	BLES01493	D
I	BLES01507	DA
I	BLES01524	D
I	BLES01525	D
I	BLES01527	D
I	BLES01532	D
I	BLES01551	D
I	BLES01555	D
I	BLES01578	D
I	BLES01579	D
I	BLES01588	D
I	BLES01593	D
I	BLES01597	D
I	BLES01611	D
I	BLES01614	D
I	BLES01617	D
I	BLES01636	D
I	BLES01644	D
I	BLES01649	D
I	BLES01657	D
I	BLES01659	D
I	BLES01661	D
I	BLES01667	D
I	BLES01673	D
I	BLES01674	D
I	BLES01676	D
I	BLES01684	D
I	BLES01685	D
I	BLES01697	D
I	BLES01698	DA
I	BLES01701	D
I	BLES01702	D
I	BLES01705	D
I	BLES01707	D
I	BLES01717	D
I	BLES01718	D
I	BLES01719	D
I	BLES01720	D
I	BLES01721	D
I	BLES01722	D
I	BLES01723	A
I	BLES01731	D
I	BLES01733	D
I	BLES01737	D
I	BLES01745	D
I	BLES01747	D
I	BLES01764	D
I	BLES01766	D
I	BLES01773	D
I	BLES01776	A
I	BLES01780	D
I	BLES01784	D
I	BLES01788	DA
I	BLES01789	D
I	BLES01791	D
I	BLES01793	D
I	BLES01794	D
I	BLES01796	D
I	BLES01805	D
I	BLES01807	DA
I	BLES01811	D
I	BLES01815	D
I	BLES01832	D
I	BLES01833	D
I	BLES01843	D
I	BLES01854	D
I	BLES01857	D
I	BLES01867	D
I	BLES01870	D
I	BLES01882	D
I	BLES01889	D
I	BLES01892	D
I	BLES01894	D
I	BLES01898	D
I	BLES01902	D
I	BLES01930	DA
I	BLES01945	D
I	BLES01948	D
I	BLES01954	D
I	BLES01955	D
I	BLES01959	D
I	BLES01962	D
I	BLES01978	D
I	BLES01981	D
I	BLES01982	D
I	BLES01987	A
I	BLES01996	D
I	BLES02010	D
I	BLES02011	D
I	BLES02022	A
I	BLES02023	D
I	BLES02026	D
I	BLES02033	D
I	BLES02035	D
I	BLES02038	D
I	BLES02039	D
I	BLES02052	D
I	BLES02058	D
I	BLES02061	D
I	BLES02077	D
I	BLES02078	D
I	BLES02079	D
I	BLES02152	D
I	BLES02169	D
I	BLES02213	D
I	BLES02214	D
I	BLES02255	D
I	BLJM60086	D
I	BLJM60126	D
I	BLJM60197	D
I	BLJM60202	D
I	BLJM60223	D
I	BLJM60232	D
I	BLJM60238	D
I	BLJM60240	D
I	BLJM60250	D
I	BLJM60263	D
I	BLJM60285	D
I	BLJM60291	DT
I	BLJM60305	D
I	BLJM60332	D
I	BLJM60334	T
I	BLJM60343	D
I	BLJM60348	D
I	BLJM60349	D
I	BLJM60350	D
I	BLJM60382	D
I	BLJM60384	D
I	BLJM60394	A
I	BLJM60405	D
I	BLJM60409	D
I	BLJM60416	T
I	BLJM60417	D
I	BLJM60427	D
I	BLJM60444	DA
I	BLJM60454	D
I	BLJM60486	D
I	BLJM60492	A
I	BLJM60501	D
I	BLJM60502	D
I	BLJM60516	D
I	BLJM60518	D
I	BLJM60519	D
I	BLJM60524	D
I	BLJM60532	D
I	BLJM60541	D
I	BLJM60548	D
I	BLJM60549	D
I	BLJM60557	D
I	BLJM60558	T
I	BLJM60989	D
I	BLJM60990	D
I	BLJM60993	DT
I	BLJM61014	A
I	BLJM61039	D
I	BLJM61054	D
I	BLJM61056	D
I	BLJM61070	D
I	BLJM61113	D
I	BLJM61121	D
I	BLJM61125	D
I	BLJM61126	D
I	BLJM61204	D
I	BLJM61227	D
I	BLJM61228	D
I	BLJM61244	D
I	BLJS10001	D
I	BLJS10050	D
I	BLJS10075	D
I	BLJS10120	D
I	BLJS10125	D
I	BLJS10158	D
I	BLJS10189	D
I	BLJS10203	D
I	BLJS10260	D
I	BLKS20231	D
I	BLUS30007	D
I	BLUS30008	D
