# PS3 Classic base game index v1
# G\tTITLE_ID\tNAME\tCONTENT_ID
# A\tTITLE_ID
# D\tTITLE_ID
G	NPUA80662	LittleBigPlanet™ 2	UP9000-NPUA80662_00-GLITTLEBIG000001
G	NPUA80676	ICO™	UP9000-NPUA80676_00-ICO0000000000001
G	NPUA80677	Shadow of the Colossus™	UP9000-NPUA80677_00-SOTC000000000001
G	NPUA80678	MotorStorm RC	UP9000-NPUA80678_00-MOTORESCALED0000
G	NPUA80695	Ratchet & Clank: All 4 One™	UP9000-NPUA80695_00-RATCHET700000001
G	NPUA80697	Uncharted - Drake's Fortune	UP9000-NPUA80697_00-UNCHARTED1PCKG01
G	NPUA80698	Uncharted 2 - Among Thieves - GotY	UP9000-NPUA80698_00-UNCHARTED2PCKG01
G	NPUA80719	rain™	UP9000-NPUA80719_00-RAIN000000000001
G	NPUA80754	When Vikings Attack	UP9000-NPUA80754_00-VIKINGSATTACK001
G	NPUA80756	SingStar	UP9000-NPUA80756_00-SINGSTARPS3V0100
G	NPUA80783	Hohokum™	UP9000-NPUA80783_00-HOHOKUMGAME00001
G	NPUA80797	Malicious™	UP9000-NPUA80797_00-MALICIOUS0000001
G	NPUA80802	Sports Champions 2™	UP9000-NPUA80802_00-SC20000000003126
G	NPUA80823	PlayStationMove Fitness	UP9000-NPUA80823_00-UMOVEFITNE000001
G	NPUA80848	LittleBigPlanet Karting	UP9000-NPUA80848_00-UFGLBPKARTING001
G	NPUA80853	Everybody Dance Digital	UP9000-NPUA80853_00-DANCESTRPS3V0100
G	NPUA80858	Uncharted 3 Multiplayer Free to Play	UP9000-NPUA80858_00-UNCHARTED3FREEMP
G	NPUA80864	Hot Shots Golf - World Invitational	UP9000-NPUA80864_00-0000111122223333
G	NPUA80870	CounterSpy™	UP9000-NPUA80870_00-COUNTERSPYPS3000
G	NPUA80882	Bentley's Hackpack Trial Version	UP9000-NPUA80882_00-UBENTLEYSH000001
G	NPUA80900	RESOGUN™	UP9000-NPUA80900_00-RESOGUN000000002
G	NPUA80908	Ratchet and Clank - Into the Nexus	UP9000-NPUA80908_00-RCNEXUS700000001
G	NPUA80912	MLB 13 The Show - Part 1	UP9000-NPUA80912_00-MLB13THESHOWHDDM
G	NPUA80918	God of War: Ascension™	UP9000-NPUA80918_00-GOWADIGITALVERS1
G	NPUA80930	HELLDIVERS™ PS3™	UP9000-NPUA80930_00-HELLDIVERSSCEA00
G	NPUA80960	The Last of Us (Downloader, needs 27GB of free space)	UP9000-NPUA80960_00-THELASTOFUSDIG01
G	NPUA80969	MLB 14 THE SHOW	UP9000-NPUA80969_00-MLB14THESHOWHDDM
G	NPUA80983	Invizimals: The Lost Kingdom	UP9000-NPUA80983_00-UINVIZIMAL000001
G	NPUA81049	Gran Turismo 6	UP9000-NPUA81049_00-0000000000000000
G	NPUA81052	Doki Doki Universe	UP9000-NPUA81052_00-DDU0000000000000
G	NPUA81116	LittleBigPlanet 3	UP9000-NPUA81116_00-LBP3GAME00000001
G	NPUA81353	MLB The Show 16	UP9000-NPUA81353_00-MLB16THESHOWHDDM
G	NPUA98202	The Unfinished Swan	UP9000-NPUA98202_00-UNFINISHEDSWAN00
G	NPUB30016	High Stakes - Vegas Strip Poker Edition	UP0017-NPUB30016_00-HSOPOKERGOLDSCEA
G	NPUB30017	Super Puzzle Fighter 2 TURBO HD REMIX	UP0102-NPUB30017_00-PUZZLEFIGHTER2FG
G	NPUB30018	Rocketmen: Axis Of Evil	UP0102-NPUB30018_00-000000000000GAME
