HEROCITY1	ALL	Hero City 1	https://github.com/PS3-Pro/Packages/releases/download/Games/Hero_City_1.pkg		UP0001-HEROCITY1_00-0000000000000000	870318
JBEB55555	ALL	BreakOut X	https://github.com/PS3-Pro/Packages/releases/download/Games/Break_Out_X.pkg		UP0001-JBEB55555_00-0000111122223333	9919528
JCD00TEST	ALL	3 Card Monte	https://github.com/PS3-Pro/Packages/releases/download/Games/3_Card_Monte.pkg		UP0001-JCD00TEST_00-0000000000000000	3103784
LWMC00000	ALL	Larry with a Magic Scarf	https://github.com/PS3-Pro/Packages/releases/download/Games/Larry_with_a_Magic_Scarf.pkg		IV0000-LWMC00000_00-LARRYWITHASCARFJ	15475984
MAZEGENRT	ALL	Maze Generator	https://github.com/PS3-Pro/Packages/releases/download/Games/Maze_Generator.pkg		UP0001-MAZEGENRT_00-0000000000000000	1121976
NEOR66666	ALL	Neo Race	https://github.com/PS3-Pro/Packages/releases/download/Games/Neo_Race.pkg		458264-NEOR66666_00-5454256518239721	14050918
NEOTANKS1	ALL	Neo Tanks	https://github.com/PS3-Pro/Packages/releases/download/Games/Neo_Tanks.pkg		UP0001-NEOTANKS1_00-0000000000000000	681574
NEOTRAIL1	ALL	Neo Trail	https://github.com/PS3-Pro/Packages/releases/download/Games/Neo_Trail.pkg		UP0001-NEOTRAIL1_00-0000000000000000	429916
OSPX00001	ALL	Supaplex	https://github.com/PS3-Pro/Packages/releases/download/Games/Supaplex.pkg		UP0001-OSPX00001_00-0000000000000000	7654604
PAINTOWN2	ALL	Paintown	https://github.com/PS3-Pro/Packages/releases/download/Games/Paintown.pkg		UP0001-PAINTOWN2_00-0000000000000000	85354086
PINTOR001	ALL	Pintor - Sony vs Hackers	https://github.com/PS3-Pro/Packages/releases/download/Games/Pintor_-_Sony_vs_Hackers.pkg		UP0001-PINTOR001_00-0000000000000000	85354086
PNG00TEST	ALL	Wall Pong	https://github.com/PS3-Pro/Packages/releases/download/Games/Wall_Pong.pkg		UP0001-PNG00TEST_00-0000000000000000	1195376
POCKETMON	ALL	Untitled Pokemon Project	https://github.com/PS3-Pro/Packages/releases/download/Games/Untitled_Pokemon_Project.pkg		UP0001-POCKETMON_00-0000000000000000	408944
PONG00LSD	ALL	2 Player Pong	https://github.com/PS3-Pro/Packages/releases/download/Games/2_Player_Pong.pkg		UP0001-PONG00LSD_00-0000000000000000	1488977
PS3PONG00	ALL	PS3Pong	https://github.com/PS3-Pro/Packages/releases/download/Games/PS3Pong.pkg		UP0001-PS3PONG00_00-0000111122223333	10286530
PS3TETRIS	ALL	PS3Tetris	https://github.com/PS3-Pro/Packages/releases/download/Games/PS3Tetris.pkg		UP0001-PS3TETRIS_00-0000000000000000	104857
QUAD00LSD	ALL	Codename Quadtris	https://github.com/PS3-Pro/Packages/releases/download/Games/Codename_Quadtris.pkg		UP0001-QUAD00LSD_00-0000000000000000	9667870
RXESP3851	ALL	Espionage	https://github.com/PS3-Pro/Packages/releases/download/Games/Espionage.pkg		EP0001-RXESP3851_00-0000111122223333	2422210
RXGAM3004	ALL	2048	https://github.com/PS3-Pro/Packages/releases/download/Games/2048.pkg		GP0001-RXGAM3004_00-0000111122223333	2107637
SCOG00001	ALL	Scogger	https://github.com/PS3-Pro/Packages/releases/download/Games/Scogger.pkg		UP0001-SCOG00001_00-0000000000000000	4089446
SDL20BARU	ALL	Barulandia	https://github.com/PS3-Pro/Packages/releases/download/Games/Barulandia.pkg		UP0001-SDL20BARU_00-0000000000000000	20
SGTPZL010	ALL	SGT Puzzle	https://github.com/PS3-Pro/Packages/releases/download/Games/SGT_Puzzle.pkg		UP0001-SGTPZL010_00-0000000000000000	1887436
SKETCHFIT	ALL	Sketch Fight	https://github.com/PS3-Pro/Packages/releases/download/Games/Sketch_Fight.pkg		EP0001-SKETCHFIT_00-0000111122223333	2202009
SLIMEROLL	ALL	Slime Roll	https://github.com/PS3-Pro/Packages/releases/download/Games/Slime_Roll.pkg		UP0001-SLIMEROLL_00-0000000000000000	419430
SOR000095	ALL	Streets of Rage	https://github.com/PS3-Pro/Packages/releases/download/Games/Streets_of_Rage.pkg		EP0001-SOR000095_00-0000111122223333	333447168
SPNP12345	ALL	Spin Pong	https://github.com/PS3-Pro/Packages/releases/download/Games/Spin_Pong.pkg		UP0001-SPNP12345_00-1000111122223333	10800332
